"Series_Name","Series_Code","Country_Name","Country_Code","Factor","Year","Value"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Haiti","HTI","Life_expectancy","2000","58.365"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Haiti","HTI","Life_expectancy","2002","58.855"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Haiti","HTI","Life_expectancy","2004","58.475"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Haiti","HTI","Life_expectancy","2006","60.763"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Haiti","HTI","Life_expectancy","2008","61.332"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Haiti","HTI","Life_expectancy","2009","61.741"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Haiti","HTI","Life_expectancy","2010","46.019"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Haiti","HTI","Life_expectancy","2011","61.623"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Haiti","HTI","Life_expectancy","2012","62.291"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Haiti","HTI","Life_expectancy","2013","62.605"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Haiti","HTI","Life_expectancy","2015","63.237"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Haiti","HTI","Life_expectancy","2017","63.854"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Haiti","HTI","Life_expectancy","2019","64.255"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Haiti","HTI","Life_expectancy","2021","63.192"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Haiti","HTI","Life_expectancy","2023",NA
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Dominican Republic","DOM","Life_expectancy","2000","69.423"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Dominican Republic","DOM","Life_expectancy","2002","69.923"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Dominican Republic","DOM","Life_expectancy","2004","70.331"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Dominican Republic","DOM","Life_expectancy","2006","71.165"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Dominican Republic","DOM","Life_expectancy","2008","71.658"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Dominican Republic","DOM","Life_expectancy","2009","71.871"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Dominican Republic","DOM","Life_expectancy","2010","72.093"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Dominican Republic","DOM","Life_expectancy","2011","72.221"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Dominican Republic","DOM","Life_expectancy","2012","72.514"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Dominican Republic","DOM","Life_expectancy","2013","72.713"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Dominican Republic","DOM","Life_expectancy","2015","72.953"
