"Series Name","Series Code","Country Name","Country Code","Factor","Year","Value"
"GDP (current US$)","NY.GDP.MKTP.CD","Haiti","HTI","GDP",1999,4153725883.84082
"GDP (current US$)","NY.GDP.MKTP.CD","Haiti","HTI","GDP",2000,6813566098.8675
"GDP (current US$)","NY.GDP.MKTP.CD","Haiti","HTI","GDP",2001,6331970324.31022
"GDP (current US$)","NY.GDP.MKTP.CD","Haiti","HTI","GDP",2002,6205847213.6351
"GDP (current US$)","NY.GDP.MKTP.CD","Haiti","HTI","GDP",2003,5071947798.27263
"GDP (current US$)","NY.GDP.MKTP.CD","Haiti","HTI","GDP",2004,6087360684.2969
"GDP (current US$)","NY.GDP.MKTP.CD","Haiti","HTI","GDP",2005,7030149730.33692
"GDP (current US$)","NY.GDP.MKTP.CD","Haiti","HTI","GDP",2006,7638739122.67242
"GDP (current US$)","NY.GDP.MKTP.CD","Haiti","HTI","GDP",2007,9228637767.69009
"GDP (current US$)","NY.GDP.MKTP.CD","Haiti","HTI","GDP",2008,10432962634.8748
"GDP (current US$)","NY.GDP.MKTP.CD","Haiti","HTI","GDP",2009,11597002834.7786
"GDP (current US$)","NY.GDP.MKTP.CD","Haiti","HTI","GDP",2010,11859312725.1448
"GDP (current US$)","NY.GDP.MKTP.CD","Haiti","HTI","GDP",2011,13008746038.8867
"GDP (current US$)","NY.GDP.MKTP.CD","Haiti","HTI","GDP",2012,13708925477.1304
"GDP (current US$)","NY.GDP.MKTP.CD","Haiti","HTI","GDP",2013,14902488604.2421
"GDP (current US$)","NY.GDP.MKTP.CD","Haiti","HTI","GDP",2014,15146883497.6331
"GDP (current US$)","NY.GDP.MKTP.CD","Haiti","HTI","GDP",2015,14849629308.6025
"GDP (current US$)","NY.GDP.MKTP.CD","Haiti","HTI","GDP",2016,14069277526.2278
"GDP (current US$)","NY.GDP.MKTP.CD","Haiti","HTI","GDP",2017,15093357161.1498
"GDP (current US$)","NY.GDP.MKTP.CD","Haiti","HTI","GDP",2018,16403864617.8458
"GDP (current US$)","NY.GDP.MKTP.CD","Haiti","HTI","GDP",2019,15016090929.5125
"GDP (current US$)","NY.GDP.MKTP.CD","Haiti","HTI","GDP",2020,14508222518.3018
"GDP (current US$)","NY.GDP.MKTP.CD","Haiti","HTI","GDP",2021,20877414952.6375
"GDP (current US$)","NY.GDP.MKTP.CD","Haiti","HTI","GDP",2022,20253551920.5516
"GDP (current US$)","NY.GDP.MKTP.CD","Haiti","HTI","GDP",2023,19850829757.5418
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Haiti","HTI","inflation",1999,3.00439421550734
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Haiti","HTI","inflation",2000,9.33322197565603
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Haiti","HTI","inflation",2001,13.31672224251
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Haiti","HTI","inflation",2002,7.03287406224601
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Haiti","HTI","inflation",2003,28.6995777887374
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Haiti","HTI","inflation",2004,21.0318339277222
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Haiti","HTI","inflation",2005,13.973008326384
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Haiti","HTI","inflation",2006,11.3452152244299
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Haiti","HTI","inflation",2007,6.55722772638066
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Haiti","HTI","inflation",2008,15.2817744823772
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Haiti","HTI","inflation",2009,0.393886040173341
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Haiti","HTI","inflation",2010,4.82734190074673
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Haiti","HTI","inflation",2011,6.33279483849042
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Haiti","HTI","inflation",2012,5.01804155429246
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Haiti","HTI","inflation",2013,4.76502404779142
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Haiti","HTI","inflation",2014,3.43816659958601
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Haiti","HTI","inflation",2015,6.73184069658997
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Haiti","HTI","inflation",2016,11.5029073942666
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Haiti","HTI","inflation",2017,10.6800887242584
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Haiti","HTI","inflation",2018,12.4814111170435
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Haiti","HTI","inflation",2019,18.7037825672506
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Haiti","HTI","inflation",2020,22.7963113642528
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Haiti","HTI","inflation",2021,16.8415240198785
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Haiti","HTI","inflation",2022,33.98393194707
"Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","Haiti","HTI","inflation",2023,36.8135162780854
